City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
23,Dingle,PH,76.32,light rain,10.9995,122.6711,SEGAYA PROPERTY
25,Severo-Kurilsk,RU,54.57,scattered clouds,50.6789,156.125,Апартаменты/Квартиры посуточно
26,Harnosand,SE,66.0,broken clouds,62.6323,17.9379,First Hotel Stadt
28,Erenhot,CN,70.36,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
29,Rongcheng,CN,76.33,broken clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
30,Mataura,NZ,36.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
32,Mongo,TD,74.73,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
33,Sisimiut,GL,43.2,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
34,Butaritari,KI,82.99,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
35,New Norfolk,AU,44.74,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
36,Ushuaia,AR,42.46,scattered clouds,-54.8,-68.3,Albatros Hotel
37,Rawson,AR,50.81,clear sky,-43.3002,-65.1023,Hosteria Sampedro
38,Busselton,AU,53.1,overcast clouds,-33.65,115.3333,Observatory Guest House
39,Mehamn,NO,69.98,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
40,Atuona,PF,77.09,light rain,-9.8,-139.0333,Villa Enata
41,Panzhihua,CN,73.67,heavy intensity rain,26.5851,101.7128,Electric Power Hotel
42,Kavaratti,IN,80.38,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
43,Bellavista,PE,94.28,clear sky,-7.0561,-76.5911,Hospedaje Bella Durmiente
44,Castro,BR,63.36,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
45,Ishigaki,JP,82.76,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
46,Kurilsk,RU,52.3,overcast clouds,45.2333,147.8833,City of Kurilsk
47,Pevek,RU,37.24,few clouds,69.7008,170.3133,Hotel ABC
48,Nikolskoye,RU,66.09,overcast clouds,59.7035,30.7861,Tourist House - Sablino
49,Qaanaaq,GL,39.96,few clouds,77.484,-69.3632,Qaanaaq Hotel
50,Kahului,US,82.98,few clouds,20.8947,-156.47,Maui Seaside Hotel
51,Coihaique,CL,48.81,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
52,Jamestown,US,85.01,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
53,Kilindoni,TZ,76.17,clear sky,-7.9139,39.6668,Bustani B&B
54,Puerto Escondido,MX,88.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
55,Juneau,US,62.22,light rain,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
57,Constitucion,CL,53.06,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
59,Port Macquarie,AU,49.96,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
60,Yellowknife,CA,54.12,broken clouds,62.456,-114.3525,The Explorer Hotel
61,Esperance,AU,60.64,clear sky,-33.8667,121.9,Hospitality Esperance
62,Zhanaozen,KZ,93.97,clear sky,43.3,52.8,K.korabay 28A
63,Puerto Ayora,EC,73.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
64,Vaini,TO,60.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
65,Berlevag,NO,66.0,clear sky,70.8578,29.0864,Kvitbrakka
66,Williamsport,US,90.36,clear sky,41.2412,-77.0011,Hampton Inn Williamsport-Downtown
